lag_months,correlation
-12,0.10720908570420729
-11,0.11711053247318844
-10,0.12205891093822772
-9,0.12895426562379222
-8,0.1419963599626185
-7,0.1663829918278991
-6,0.19853842473057098
-5,0.23498350356616432
-4,0.27281397252131334
-3,0.30897713838960195
-2,0.34486819865853224
-1,0.37864883586773923
0,0.40938317230481364
1,0.43408234670218654
2,0.4437620550901879
3,0.43376568470970917
4,0.4077194335077692
5,0.3766129468926607
6,0.3467630343401578
7,0.318075505911115
8,0.28854866402505047
9,0.25492868725683887
10,0.21527564680678515
11,0.16900163542107308
12,0.12219062490430631
