year,event_count,total_mhw_days,max_duration,max_intensity,cumulative_intensity
1982,1,5,5,1.2044623666666663,5.400263200000001
1983,7,169,42,2.1682669666666676,226.36617821666667
1984,4,24,7,1.5447034333333356,28.354454133333345
1986,1,5,5,1.1523086166666676,5.3463830333333355
1989,3,31,15,1.343403150000002,32.044600816666666
1990,3,22,8,1.4996599500000016,26.34616386666666
1992,9,163,43,2.144356616666668,214.82085420000004
1993,2,37,27,2.0424565333333344,57.443637316666674
1995,2,50,29,1.4241474499999995,57.50206088333333
1996,6,69,23,1.5732135166666659,73.56445688333335
1997,6,241,121,2.3953145166666676,356.5494290666667
1998,2,15,10,1.290666316666666,17.84660286666667
2001,1,8,8,1.0623698333333351,7.757382750000005
2003,2,18,13,1.1610198333333344,17.496254433333334
2005,1,14,14,1.5810028833333334,18.396285666666664
2006,2,17,10,1.4212336000000008,18.457812933333326
2009,1,12,12,1.8399521833333328,17.60297388333334
2012,1,6,6,0.9766960333333348,5.373180816666668
2014,3,79,45,2.042754366666667,97.73381384999999
2015,4,427,232,3.2274493999999976,853.4895056833334
2016,5,122,50,2.4548241666666666,158.96240898333338
2017,8,93,35,1.639526850000001,103.56017454999999
2018,5,104,46,1.5418808833333344,116.56757441666667
2019,4,64,33,1.5668929666666678,72.62133220000001
2020,6,123,59,2.0621715666666667,172.11795566666666
2021,1,11,11,1.073499166666668,10.045843466666675
2022,2,72,56,2.0200650000000024,104.48462763333335
2023,5,133,65,1.5779373333333329,164.13103903333334
2024,4,88,67,1.6351108166666677,96.4098841666667
